Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Size (KB),Description,Language,Repo URL
737,flutter_browser_app,566,190,566,18,08/06/2020,25/10/2024,22.31 MB,22845,A Full-Featured Mobile and Desktop Browser App (such as the Google Chrome mobile browser) created using Flutter and the features offered by the flutter_inappwebview plugin.,Dart,https://github.com/pichillilorenzo/flutter_browser_app
738,obs_blade,566,48,566,38,24/03/2020,28/11/2024,12.26 MB,12557,Make use of the OBS WebSocket Plugin (https://github.com/obsproject/obs-websocket) and control your stream,Dart,https://github.com/Kounex/obs_blade
739,flutter_convenient_test,565,46,565,1,03/05/2022,04/11/2025,35.29 MB,36141,"Write and debug tests easily, with full action history, time travel, screenshots, rapid re-execution, video records, interactivity, isolation and more",Dart,https://github.com/fzyzcjy/flutter_convenient_test
740,rubber,565,91,565,32,16/12/2018,23/08/2023,3.86 MB,3948,An elastic material bottom sheet implementation for Flutter.,Dart,https://github.com/mcrovero/rubber
741,photon,565,45,565,14,06/08/2022,03/10/2025,6.25 MB,6399,Photon is a cross-platform file and folder transfer application built using flutter. It uses http to transfer files between devices. You can transfer files between any devices that run Photon.,Dart,https://github.com/abhi16180/photon
742,Flutter-Shop-UI-Kit,564,204,564,0,27/01/2022,28/02/2022,2.87 MB,2934,If you are planning to create an e-commerce app using Flutter then this Shop UI Kit would be the perfect choice for you to make a gorgeous app for both Android & iOS. ,Dart,https://github.com/abuanwar072/Flutter-Shop-UI-Kit
743,qaul.net,563,68,563,51,26/11/2014,26/09/2025,84.10 MB,86117,Internet Independent Wireless Mesh Communication App,Dart,https://github.com/qaul/qaul.net
744,card_settings,561,108,561,26,26/07/2018,27/06/2024,22.78 MB,23325,A flutter package for building card based forms. ,Dart,https://github.com/codegrue/card_settings
745,folding_cell,561,40,561,4,07/12/2018,13/03/2021,5.50 MB,5628,Flutter FoldingCell widget,Dart,https://github.com/faob-dev/folding_cell
746,flutter_blurhash,560,73,560,16,21/02/2020,22/04/2025,458.00 KB,458,Compact representation of a placeholder for an image. Encode a blurry image under 30 caracters for instant display like used by Medium.,Dart,https://github.com/fluttercommunity/flutter_blurhash
747,reply,559,68,559,5,30/04/2019,02/08/2021,5.02 MB,5142,The 'Reply' Material Design case study built with Flutter.,Dart,https://github.com/flschweiger/reply
748,FlutterCardSwipe,559,159,559,4,08/05/2018,17/12/2022,9.08 MB,9302,,Dart,https://github.com/geekruchika/FlutterCardSwipe
749,flutter_credit_card,555,308,555,14,23/04/2019,19/05/2025,54.00 MB,55295,A credit card widget for Flutter application.,Dart,https://github.com/SimformSolutionsPvtLtd/flutter_credit_card
750,flutter_wallet_ui,555,199,555,1,20/03/2019,01/08/2021,1.42 MB,1456,Flutter  Wallet APP UI Challenge,Dart,https://github.com/kalismeras61/flutter_wallet_ui
751,WindSend,555,25,555,19,21/06/2023,11/09/2025,3.78 MB,3873,"Quickly and securely sync clipboard, transfer files and directories between devices. 快速安全的同步剪切板，传输文件或文件夹",Dart,https://github.com/doraemonkeys/WindSend
752,anytime_podcast_player,554,120,554,28,10/06/2020,06/11/2025,15.19 MB,15558,"Simple, easy to use Podcast player app written in Flutter and Dart.",Dart,https://github.com/amugofjava/anytime_podcast_player
753,protobuf.dart,553,197,553,128,10/07/2013,06/11/2025,5.90 MB,6037,Runtime library for Dart protobufs,Dart,https://github.com/google/protobuf.dart
754,flutter.cn,553,369,553,40,21/11/2018,27/10/2025,784.70 MB,803528,"Flutter CN docs translation plan, get started from the wiki: https://github.com/cfug/flutter.cn/wiki",Dart,https://github.com/cfug/flutter.cn
755,smart-admin-dashboard,552,234,552,5,09/06/2021,10/05/2024,4.63 MB,4738,Flutter Smart Admin Panel & Dashboard,Dart,https://github.com/deniscolak/smart-admin-dashboard
756,FlutterNewsApp,551,204,551,5,19/03/2020,03/08/2024,69.00 KB,69,Flutter news app with NewsApi Org,Dart,https://github.com/theindianappguy/FlutterNewsApp
757,wenznote,549,43,549,8,17/01/2024,14/11/2024,7.76 MB,7950,一款由 flutter 开发的笔记软件，支持电脑端和手机端。,Dart,https://github.com/lyming99/wenznote
758,BookSearch,548,150,548,2,27/01/2018,31/12/2018,4.56 MB,4669,A digital BookShelf for your reading progress.,Dart,https://github.com/Norbert515/BookSearch
759,funvas,546,40,546,1,05/11/2020,03/01/2025,34.70 MB,35531,Fun canvas animations in Flutter based on time and math functions.,Dart,https://github.com/creativecreatorormaybenot/funvas
760,FlutterBleLib,545,198,545,122,15/02/2018,29/07/2024,3.52 MB,3602,Bluetooth Low Energy library for Flutter with support for simulating peripherals,Dart,https://github.com/dotintent/FlutterBleLib
